label,M,K,N,dtype,est_input_bytes,est_weight_bytes,est_output_bytes,est_total_bytes,est_flops,est_ai_flop_per_byte,meas_n,meas_p50_us,meas_p95_us,meas_min_us,meas_gflops_per_s
decode-like  (M=1),1,4096,4096,float32,16384,67108864,16384,67141632,33554432,0.4997559785261103,300,974.6244177222252,1123.165711760521,954.5409120619297,34.42806417514079
decode-like  (M=1),1,4096,4096,float64,32768,134217728,32768,134283264,33554432,0.24987798926305516,115,2551.0000996291637,2950.625028461218,2481.1248295009136,13.153442057833622
decode-like  (M=1),1,4096,4096,float16,8192,33554432,8192,33570816,33554432,0.9995119570522206,10,41164.645459502935,47465.791925787926,38114.24970626831,0.815127438253058
small square,128,128,128,float32,65536,65536,65536,196608,4194304,21.333333333333332,2000,4.458706825971603,4.542060196399689,3.832858055830002,940.6996610695553
small square,128,128,128,float64,131072,131072,131072,393216,4194304,10.666666666666666,2000,12.417323887348175,12.54212111234665,10.291114449501038,337.7784165132
small square,128,128,128,float16,32768,32768,32768,98304,4194304,42.666666666666664,122,2448.583487421274,2612.6662269234657,2408.584114164114,1.7129511905747723
mid square,512,512,512,float32,1048576,1048576,1048576,3145728,268435456,85.33333333333333,1969,151.12478286027908,155.66637739539146,149.99974519014359,1776.2503999637129
mid square,512,512,512,float64,2097152,2097152,2097152,6291456,268435456,42.666666666666664,495,602.24998742342,623.7919442355633,598.5829047858715,445.72098232568806
mid square,512,512,512,float16,524288,524288,524288,1572864,268435456,170.66666666666666,10,155773.6040558666,158717.29236096144,155278.00004929304,1.7232409664459478
big square,2048,2048,2048,float32,16777216,16777216,16777216,50331648,17179869184,341.3333333333333,32,9450.583020225167,9896.458126604557,9170.958772301674,1817.8634214665283
big square,2048,2048,2048,float64,33554432,33554432,33554432,100663296,17179869184,170.66666666666666,10,37718.60455162823,39503.33409011364,37250.70832297206,455.4746759118473
prefill-like (M=2048),2048,4096,4096,float32,33554432,67108864,33554432,134217728,68719476736,512.0,10,40516.91689528525,41377.87502259016,39888.250175863504,1696.0687535432032
prefill-like (M=2048),2048,4096,4096,float64,67108864,134217728,67108864,268435456,68719476736,256.0,10,153817.18752905726,158719.6672335267,151942.58419796824,446.7607153655592
skinny K,2048,64,2048,float32,524288,524288,16777216,17825792,536870912,30.11764705882353,574,516.0414148122072,561.750028282404,488.29102888703346,1040.3640029461062
skinny K,2048,64,2048,float64,1048576,1048576,33554432,35651584,536870912,15.058823529411764,170,1744.5413395762444,1898.3329646289349,1628.7090256810188,307.74330181846415
